funcao;categoria;assinatura_oficial;situacao;id_matriz;fonte
ConfigurarCapturaAdaptativaBio;biometria;byte ConfigurarCapturaAdaptativaBio(int Inner, byte Capturar, byte Total, byte Tempo);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarComportamentoIndexSearch;configuracao;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
ConfigurarFiltroBio;biometria;byte ConfigurarFiltroBio(int Inner, byte Habilitar);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarInnerOffLine;configuracao;byte ConfigurarInnerOffLine();DECLARADA_NO_PRODUTO;EI-019;SDK 6.0.2.0 EasyInner.cs
ConfigurarInnerOnLine;configuracao;byte ConfigurarInnerOnLine();DECLARADA_NO_PRODUTO;EI-018;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitor1;configuracao;byte ConfigurarLeitor1(byte Operacao);DECLARADA_NO_PRODUTO;EI-014;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitor2;configuracao;byte ConfigurarLeitor2(byte Operacao);DECLARADA_NO_PRODUTO;EI-015;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeAcura;configuracao;byte ConfigurarLeitorProximidadeAcura();DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeHIDAbaTrack2;configuracao;byte ConfigurarLeitorProximidadeHIDAbaTrack2();DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeMotorolaAbaTrack2;configuracao;byte ConfigurarLeitorProximidadeMotorolaAbaTrack2();DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeSmartCard;configuracao;byte ConfigurarLeitorProximidadeSmartCard();DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeSmartCardAcura;configuracao;byte ConfigurarLeitorProximidadeSmartCardAcura();DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeWiegand;configuracao;byte ConfigurarLeitorProximidadeWiegand();DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorProximidadeWiegandFacilityCode;configuracao;byte ConfigurarLeitorProximidadeWiegandFacilityCode();DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarLeitorWiegandFacilityCodeSemSeparador;configuracao;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
ConfigurarNivelLFD;configuracao;byte ConfigurarNivelLFD(byte NivelLFD);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarRedeVerid;biometria;byte ConfigurarRedeVerid(int Inner, byte Envia, byte Recebe, byte BroadCast);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarTimeoutIdentificacao;configuracao;byte ConfigurarTimeoutIdentificacao(byte TimeoutIdentificacao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarTipoLeitor;configuracao;byte ConfigurarTipoLeitor(byte Tipo);DECLARADA_NO_PRODUTO;EI-013;SDK 6.0.2.0 EasyInner.cs
ConfigurarWiegandDoisLeitores;configuracao;byte ConfigurarWiegandDoisLeitores(byte Habilita, byte ExibirMensagem);DECLARADA_NO_PRODUTO;EI-024;SDK 6.0.2.0 EasyInner.cs
CriarUsuarioLeitorVerid;biometria;byte CriarUsuarioLeitorVerid(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirCodigoEmpresa;configuracao;byte DefinirCodigoEmpresa(int Codigo);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirConfiguracaoTecladoOnLine;configuracao;byte DefinirConfiguracaoTecladoOnLine(byte Digitos, byte EcoDisplay, byte Tempo, byte PosicaoCursor);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirConfiguracoesFuncoes;configuracao;byte DefinirConfiguracoesFuncoes(byte Funcao, byte Catraca, byte Rele1, byte Rele2, byte Lista, byte Biometria);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirEntradasMudancaOffLine;configuracao;byte DefinirEntradasMudancaOffLine(byte Teclado, byte Leitor1, byte Leitor2, byte Catraca);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirEntradasMudancaOffLineComBiometria;biometria;byte DefinirEntradasMudancaOffLineComBiometria(byte Teclado, byte Leitor1, byte Leitor2, byte Verificacao ,byte Identificacao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirEntradasMudancaOnLine;configuracao;byte DefinirEntradasMudancaOnLine(byte Entrada);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirEventoSensor;configuracao;byte DefinirEventoSensor(byte Sensor, byte Evento, byte Tempo);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirFormasPictogramasMillenium;configuracao;byte DefinirFormasPictogramasMillenium(byte Forma);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirFuncaoDefaultLeitoresProximidade;configuracao;byte DefinirFuncaoDefaultLeitoresProximidade(byte Funcao);DECLARADA_NO_PRODUTO;EI-022;SDK 6.0.2.0 EasyInner.cs
DefinirFuncaoDefaultSensorBiometria;biometria;byte DefinirFuncaoDefaultSensorBiometria(byte Funcao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirFuncaoSensor1;configuracao;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
DefinirLogicaRele;configuracao;byte DefinirLogicaRele(byte Logica);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemApresentacaoEntrada;configuracao;byte DefinirMensagemApresentacaoEntrada(byte ExibirData, string Mensagem);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemApresentacaoSaida;configuracao;byte DefinirMensagemApresentacaoSaida(byte ExibirData, string Mensagem);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemEntradaOffLine;configuracao;byte DefinirMensagemEntradaOffLine(byte ExibirData, string Mensagem);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemFuncaoOffLine;configuracao;byte DefinirMensagemFuncaoOffLine(string Mensagem, byte Funcao, byte Habilitada);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemPadraoMudancaOffLine;configuracao;byte DefinirMensagemPadraoMudancaOffLine(byte ExibirData, string Mensagem);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemPadraoMudancaOnLine;configuracao;byte DefinirMensagemPadraoMudancaOnLine(byte ExibirData, string Mensagem);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemPadraoOffLine;configuracao;byte DefinirMensagemPadraoOffLine(byte ExibirData, string Mensagem);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirMensagemSaidaOffLine;configuracao;byte DefinirMensagemSaidaOffLine(byte ExibirData, string Mensagem);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirNivelAcesso;configuracao;byte DefinirNivelAcesso(byte Nivel);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirNumeroCartaoMaster;configuracao;byte DefinirNumeroCartaoMaster(string Master);DECLARADA_NO_PRODUTO;EI-023;SDK 6.0.2.0 EasyInner.cs
DefinirPadraoCartao;configuracao;byte DefinirPadraoCartao(byte Padrao);DECLARADA_NO_PRODUTO;EI-010;SDK 6.0.2.0 EasyInner.cs
DefinirPorcentagemRevista;configuracao;byte DefinirPorcentagemRevista(byte Porcentagem);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirQuantidadeDigitosCartao;configuracao;byte DefinirQuantidadeDigitosCartao(byte Quantidade);DECLARADA_NO_PRODUTO;EI-011;SDK 6.0.2.0 EasyInner.cs
DefinirSensorPortaOffline;configuracao;byte DefinirSensorPortaOffline(byte Logica);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DefinirTipoConexao;configuracao;byte DefinirTipoConexao(byte Tipo);DECLARADA_NO_PRODUTO;EI-001;SDK 6.0.2.0 EasyInner.cs
DefinirTipoListaAcesso;configuracao;byte DefinirTipoListaAcesso(byte Tipo);DECLARADA_NO_PRODUTO;EI-033;SDK 6.0.2.0 EasyInner.cs
DesabilitarBipCatraca;outros;byte DesabilitarBipCatraca(byte Desabilita);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DesabilitarBipColetor;outros;byte DesabilitarBipColetor(byte Desabilita);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DesabilitarBloqueioCatracaMicroSwitch;outros;byte DesabilitarBloqueioCatracaMicroSwitch(byte Desabilita);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DesabilitarRele1;outros;byte DesabilitarRele1(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DesabilitarRele2;outros;byte DesabilitarRele2(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DesabilitarWebServer;outros;byte DesabilitarWebServer(byte Desabilita);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DesligarBackLite;sinalizacao;SEM ASSINATURA PUBLICADA;SO_O_NOME;EI-055;tabela de exportacao da DLL
DesligarBipIntermitente;sinalizacao;byte DesligarBipIntermitente(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
DesligarLedVerde;sinalizacao;byte DesligarLedVerde(int Inner);DECLARADA_NO_PRODUTO;EI-051;SDK 6.0.2.0 EasyInner.cs
DesligarLedVermelho;sinalizacao;byte DesligarLedVermelho(int Inner);DECLARADA_NO_PRODUTO;EI-053;SDK 6.0.2.0 EasyInner.cs
DevolverCartao;outros;byte DevolverCartao(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EngolirCartao;outros;byte EngolirCartao(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarAjustesBio;biometria;byte EnviarAjustesBio(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarBufferEventosMudancaAuto;envio;byte EnviarBufferEventosMudancaAuto(int NumInner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarBufferTLM;envio;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
EnviarComandoAcessoNegado;envio;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
EnviarConfiguracoes;envio;byte EnviarConfiguracoes(int Inner);DECLARADA_NO_PRODUTO;EI-030;SDK 6.0.2.0 EasyInner.cs
EnviarConfiguracoesFuncoes;envio;byte EnviarConfiguracoesFuncoes(int Inner);DECLARADA_NO_PRODUTO;EI-031;SDK 6.0.2.0 EasyInner.cs
EnviarConfiguracoesMudancaAutomaticaOnLineOffLine;envio;byte EnviarConfiguracoesMudancaAutomaticaOnLineOffLine(int Inner);DECLARADA_NO_PRODUTO;EI-029;SDK 6.0.2.0 EasyInner.cs
EnviarCriptografiaTLM;envio;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
EnviarDigitalUsuario;biometria;byte EnviarDigitalUsuario(int Inner, string Usuario, byte[] Digital1, byte[] Digital2);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarDigitalUsuarioBio;biometria;byte EnviarDigitalUsuarioBio(int Inner, int TipoModBio, string Usuario, byte[] Digital1, byte[] Digital2);DECLARADA_NO_PRODUTO;EI-058;SDK 6.0.2.0 EasyInner.cs
EnviarFormasEntradasOnLine;envio;byte EnviarFormasEntradasOnLine(int Inner, byte QtdeDigitosTeclado, byte EcoTeclado, byte FormaEntrada, byte TempoTeclado, byte PosicaoCursorTeclado);DECLARADA_NO_PRODUTO;EI-032;SDK 6.0.2.0 EasyInner.cs
EnviarHorarioVerao;envio;byte EnviarHorarioVerao(int Inner, byte DiaInicio, byte MesInicio, byte AnoInicio, byte HoraInicio, byte MinutoInicio, byte DiaFim, byte MesFim, byte AnoFim, byte HoraFim, byte MinutoFim);DECLARADA_NO_PRODUTO;EI-009;SDK 6.0.2.0 EasyInner.cs
EnviarHorariosAcesso;envio;byte EnviarHorariosAcesso(int Inner);DECLARADA_NO_PRODUTO;EI-038;SDK 6.0.2.0 EasyInner.cs
EnviarHorariosSirene;envio;byte EnviarHorariosSirene(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarListaAcesso;envio;byte EnviarListaAcesso(int Inner);DECLARADA_NO_PRODUTO;EI-035;SDK 6.0.2.0 EasyInner.cs
EnviarListaUsuariosSemDigitalBio;biometria;byte EnviarListaUsuariosSemDigitalBio(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarListaUsuariosSemDigitalBio500;biometria;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
EnviarListaUsuariosSemDigitalBioInnerAcesso;biometria;byte EnviarListaUsuariosSemDigitalBioInnerAcesso(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarListaUsuariosSemDigitalBioVariavel;biometria;byte EnviarListaUsuariosSemDigitalBioVariavel(int Inner, int QtdDigitosSD);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarMensagemImpressora00;envio;byte EnviarMensagemImpressora00(int Inner, string Mensagem);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarMensagemImpressoraFF;envio;byte EnviarMensagemImpressoraFF(int Inner, string Mensagem);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarMensagemPadraoOnLine;envio;byte EnviarMensagemPadraoOnLine(int Inner, byte ExibirData, string Mensagem);DECLARADA_NO_PRODUTO;EI-056;SDK 6.0.2.0 EasyInner.cs
EnviarMensagemTemporariaOnLine;envio;byte EnviarMensagemTemporariaOnLine(int Inner, byte ExibirData, string Mensagem, byte Tempo);DECLARADA_NO_PRODUTO;EI-057;SDK 6.0.2.0 EasyInner.cs
EnviarMensagensOffLine;envio;byte EnviarMensagensOffLine(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarRelogio;envio;byte EnviarRelogio(int Inner, byte Dia, byte Mes, byte Ano, byte Hora, byte Minuto, byte Segundo);DECLARADA_NO_PRODUTO;EI-008;SDK 6.0.2.0 EasyInner.cs
EnviarSinalizacao;envio;byte EnviarSinalizacao(int Inner, byte TipoSinalizacao, byte ModoSinalizacao, byte Terminal);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarStringInicializacaoModem;envio;int EnviarStringInicializacaoModem(string Str);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
EnviarTempoKeepAliveRabbit;envio;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
EnviarUsuarioBio;biometria;byte EnviarUsuarioBio(int Inner, byte[] Template);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ExecInClientDLL;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
FazerIdentificacaoBiometricaBio;biometria;byte FazerIdentificacaoBiometricaBio(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
FazerVerificacaoBiometricaBio;biometria;byte FazerVerificacaoBiometricaBio(int Inner, string Usuario);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
FecharPortaComunicacao;comunicacao;void FecharPortaComunicacao();DECLARADA_NO_PRODUTO;EI-003;SDK 6.0.2.0 EasyInner.cs
GetBufferConfigDLL;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
GetBufferMsgDLL;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
HabilitaMudancaEventoSeta;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
HabilitaQrAsciiEstendido;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
HabilitarCriptografia;configuracao;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
HabilitarMudancaOnLineOffLine;configuracao;byte HabilitarMudancaOnLineOffLine(byte Habilita, byte Tempo);DECLARADA_NO_PRODUTO;EI-028;SDK 6.0.2.0 EasyInner.cs
HabilitarScoreFuncoes;configuracao;byte HabilitarScoreFuncoes(int Funcao, byte Score);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
HabilitarScoreMensagemOffLine;configuracao;byte HabilitarScoreMensagemOffLine(int Inner, byte Tipo, byte Habilitar);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
HabilitarTeclado;configuracao;byte HabilitarTeclado(byte Habilita, byte Ecoar);DECLARADA_NO_PRODUTO;EI-020;SDK 6.0.2.0 EasyInner.cs
IncluirUsuarioSemDigitalBio;biometria;byte IncluirUsuarioSemDigitalBio(string Cartao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
IncluirUsuarioSemDigitalBio500;biometria;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
IncluirUsuarioSemDigitalBioInnerAcesso;biometria;byte IncluirUsuarioSemDigitalBioInnerAcesso(string Cartao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
IncluirUsuarioVerid;biometria;byte IncluirUsuarioVerid(int Inner, byte[] Template);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
InicializarColetaListaUsuariosBio;biometria;void InicializarColetaListaUsuariosBio();DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
InserirHorarioAcesso;listas;byte InserirHorarioAcesso(byte Horario, byte DiaSemana, byte FaixaDia, byte Hora, byte Minuto);DECLARADA_NO_PRODUTO;EI-037;SDK 6.0.2.0 EasyInner.cs
InserirHorarioMudancaEntrada;listas;byte InserirHorarioMudancaEntrada(byte Hora1, byte Minuto1, byte Hora2, byte Minuto2, byte Hora3, byte Minuto3);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
InserirHorarioMudancaSaida;listas;byte InserirHorarioMudancaSaida(byte Hora1, byte Minuto1, byte Hora2, byte Minuto2, byte Hora3, byte Minuto3);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
InserirHorarioSirene;listas;byte InserirHorarioSirene(byte Hora, byte Minuto, byte Segunda, byte Terca, byte Quarta, byte Quinta, byte Sexta, byte Sabado, byte DomingoFeriado);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
InserirQuantidadeDigitoVariavel;listas;byte InserirQuantidadeDigitoVariavel(byte Digito);DECLARADA_NO_PRODUTO;EI-012;SDK 6.0.2.0 EasyInner.cs
InserirUsuarioLeitorBio;biometria;byte InserirUsuarioLeitorBio(int Inner, byte Tipo, string Usuario);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
InserirUsuarioListaAcesso;listas;byte InserirUsuarioListaAcesso(string Cartao, byte Horario);DECLARADA_NO_PRODUTO;EI-034;SDK 6.0.2.0 EasyInner.cs
LerByteModem;outros;int LerByteModem();DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
LerContadorGiro;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
LerSensoresInner;outros;byte LerSensoresInner(int Inner, ref byte StatusSensor1, ref byte StatusSensor2, ref byte StatusSensor3);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
LerSmartCard;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
LevantarParaOnLine;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
LiberarCatracaDoisSentidos;tempo real;byte LiberarCatracaDoisSentidos(int Inner);DECLARADA_NO_PRODUTO;EI-045;SDK 6.0.2.0 EasyInner.cs
LiberarCatracaDoisSentidosPacote;tempo real;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
LiberarCatracaEntrada;tempo real;byte LiberarCatracaEntrada(int Inner);DECLARADA_NO_PRODUTO;EI-041;SDK 6.0.2.0 EasyInner.cs
LiberarCatracaEntradaInvertida;tempo real;byte LiberarCatracaEntradaInvertida(int Inner);DECLARADA_NO_PRODUTO;EI-043;SDK 6.0.2.0 EasyInner.cs
LiberarCatracaSaida;tempo real;byte LiberarCatracaSaida(int Inner);DECLARADA_NO_PRODUTO;EI-042;SDK 6.0.2.0 EasyInner.cs
LiberarCatracaSaidaInvertida;tempo real;byte LiberarCatracaSaidaInvertida(int Inner);DECLARADA_NO_PRODUTO;EI-044;SDK 6.0.2.0 EasyInner.cs
LigarBackLite;sinalizacao;SEM ASSINATURA PUBLICADA;SO_O_NOME;EI-054;tabela de exportacao da DLL
LigarBipIntermitente;sinalizacao;byte LigarBipIntermitente(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
LigarLedVerde;sinalizacao;byte LigarLedVerde(int Inner);DECLARADA_NO_PRODUTO;EI-050;SDK 6.0.2.0 EasyInner.cs
LigarLedVermelho;sinalizacao;byte LigarLedVermelho(int Inner);DECLARADA_NO_PRODUTO;EI-052;SDK 6.0.2.0 EasyInner.cs
LocalizarPrimeiroUsuarioVerid;biometria;byte LocalizarPrimeiroUsuarioVerid(int Inner, byte Modo);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
LocalizarProximoUsuarioVerid;biometria;byte LocalizarProximoUsuarioVerid(int Inner, byte Modo);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
LocalizarUsuarioVerid;biometria;byte LocalizarUsuarioVerid(int Inner, byte Modo, byte Digitos, string Cartao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ManterRele1Acionado;outros;byte ManterRele1Acionado(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ManterRele2Acionado;outros;byte ManterRele2Acionado(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
PermitirCadastroInnerBio;biometria;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
